Steps,Baseline,Prenorm,Postnorm
500,56.61,44.77,41.58
1000,49.93,30.72,30.24
1500,45.33,26.48,27.11
2000,35.25,23.66,24.89
2500,28.44,21.89,23.46
3000,25.79,20.48,22.2
3500,23.77,19.37,21.33
4000,22.4,18.35,20.48
4500,21.26,17.35,20.05
5000,19.87,16.34,19.6
5500,18.8,14.99,18.83
6000,17.61,13.7,18.41
6500,16.55,13.12,17.83
7000,15.42,12.34,17.65
7500,14.26,11.79,17.22
8000,13.3,11.39,16.77
8500,12.62,11.04,16.19
9000,12.25,10.89,15.89
9500,11.83,10.66,15.51
10000,11.48,10.54,15.22
10500,11.19,10.4,14.49
11000,10.82,10.16,13.87
11500,10.69,,13.39
12000,10.58,,12.89
12500,10.41,,12.53
13000,10.24,,12.2
13500,10.05,,11.64
14000,,,11.36
14500,,,11.15
15000,,,10.97
15500,,,10.77
16000,,,10.39
16500,,,10.5
17000,,,10.38
17500,,,10.2
18000,,,10.11
18500,,,10.1
